contrast,energy,homogenity,correlation,out
62.04479524,0.984445017,0.987062148,0.941306098,TUMOR
101.1130644,0.961872511,0.970296822,0.936520207,TUMOR
323.3424222,0.95899096,0.96946634,0.846814398,TUMOR
203.7211317,0.87729604,0.918261921,0.980352838,TUMOR
1015.986392,0.890261793,0.908156392,0.874676186,TUMOR
1.776818205,0.99119057,0.995897494,0.842885949,TUMOR
95.16157552,0.959311668,0.967333484,0.94879595,TUMOR
242.002537,0.951637406,0.964919398,0.886293261,TUMOR
364.8799139,0.973861935,0.982733843,0.620815425,TUMOR
398.0053047,0.914215032,0.944440287,0.936541453,TUMOR
0.3432679,0.993860292,0.999134403,0.999088723,TUMOR
18.99833427,0.976966491,0.98884575,0.917025982,TUMOR
1.3485726,0.979791615,0.986966183,0.675681578,TUMOR
161.6227769,0.910005679,0.929049718,0.972101171,TUMOR
74.65583517,0.9724893,0.979262655,0.865028299,TUMOR
108.7641843,0.953760781,0.968363559,0.949631711,TUMOR
43.33224848,0.973286532,0.982520557,0.896932517,TUMOR
24.28445492,0.975566199,0.986734365,0.940381086,TUMOR
18.89818564,0.983399813,0.995453864,0.831928505,TUMOR
0.073189483,0.980102242,0.99395656,0.304074246,TUMOR
1.776818205,0.99119057,0.995897494,0.842885949,TUMOR
369.6009431,0.933606639,0.940929627,0.928121466,TUMOR
368.0426426,0.918851264,0.929225277,0.910680941,TUMOR
220.2450156,0.86877511,0.899182972,0.97745637,TUMOR
153.645072,0.913083603,0.935220028,0.969858137,TUMOR
0.012121367,0.979854286,0.994446653,0.596746764,TUMOR
52.04574343,0.971260159,0.978990803,0.940397622,TUMOR
166.8242786,0.962179854,0.969276105,0.88388935,TUMOR
0.002203885,0.998488299,0.999359336,0.560996428,TUMOR
223.8471888,0.871507605,0.913681714,0.979008964,TUMOR
77.40259341,0.949734494,0.962396515,0.97141001,TUMOR
105.0529957,0.985470214,0.988002346,0.923120874,TUMOR
14.68597202,0.997821772,0.998059101,0.923470125,TUMOR
49.88501358,0.975296769,0.978237123,0.971957142,TUMOR
1.776818205,0.99119057,0.995897494,0.842885949,TUMOR
156.2485008,0.96428208,0.971560987,0.885609859,TUMOR
37.51781047,0.98549808,0.990597401,0.945382996,TUMOR
369.6009431,0.933606639,0.940929627,0.928121466,TUMOR
148.0856184,0.946270444,0.959712247,0.955649501,TUMOR
29.80165035,0.997052984,0.997194434,0.873169856,TUMOR
0.011070678,0.979829234,0.994464661,0.618075402,TUMOR
179.1213162,0.979561424,0.984706932,0.662159305,TUMOR
357.2500641,0.942920464,0.958566189,0.897642421,TUMOR
322.5422838,0.958862448,0.969277007,0.847675055,TUMOR
168.175542,0.952571394,0.963970703,0.914851898,TUMOR
67.01004562,0.970667352,0.978871904,0.920251083,TUMOR
263.6325919,0.919825587,0.941084766,0.92842111,TUMOR
122.9293219,0.949628507,0.960061295,0.949490465,TUMOR
422.4788325,0.911113909,0.96214023,0.950982757,TUMOR
28.78043155,0.992671025,0.994242783,0.901225686,TUMOR
73.10922044,0.982963547,0.987688894,0.957625386,TUMOR
146.7181846,0.936398202,0.948360552,0.975415771,TUMOR
0.03085439,0.986541618,0.994029328,0.198312429,TUMOR
164.0370048,0.954103929,0.960810709,0.957080143,TUMOR
3.105145815,0.97979967,0.988690397,0.667423036,TUMOR
0.011967608,0.979828804,0.994434895,0.599721347,TUMOR
104.8615653,0.926784955,0.951776831,0.98210877,TUMOR
4.650940495,0.989386471,0.993992606,0.984933956,TUMOR
416.1508636,0.972106508,0.9812612,0.672714707,TUMOR
